Summary,Issue Type,Issue ID,Parent ID,Priority,Description,Status
"EPIC 1 : Recherche & Ingestion de Données",Epic,1,,High,"Collecte, inventaire et migration initiale des images médicales vers un dossier unifié.","À faire"
"Identification & Analyse des sources (CRISP-DM)",Task,2,1,High,"Analyse structurelle et inventaire des classes cibles.","Terminé"
"Analyse structurale des archives extraites",Sub-task,3,2,High,"Validation de la structure ISIC/HAM10000.","Terminé"
"Inventaire des classes & choix des maladies",Sub-task,4,2,High,"Sélection finale des classes cliniques.","Terminé"
"Étude de la distance de capture camera/zoom",Sub-task,5,2,Medium,"Classification par distance de prise de vue.","À faire"
"Migration & Organisation (CRISP-DM)",Task,6,1,High,"Nettoyage et organisation physique du dataset.","En cours"
"Création du dossier unifié datasets-cutisia",Sub-task,7,6,High,"Initialisation de l'arborescence cible.","Terminé"
"Script de migration automatique",Sub-task,8,6,High,"Écriture du script Python migrate_and_unify.py.","En cours"
"Création de dossier par distance de capture",Sub-task,9,6,Medium,"Sous-classement manuel/automatique par zoom.","À faire"
"EPIC 2 : Pipeline de Préparation & Qualité",Epic,10,,High,"Standardisation technique et annotation pour l'IA.","À faire"
"Uniformisation Technique (CRISP-DM)",Task,11,10,High,"Normalisation des formats et résolutions.","À faire"
"Standardisation des résolutions & formats (224x224)",Sub-task,12,11,High,"Passage massif en JPEG normalisé (standard MobileNet).","À faire"
"Normalisation des noms de fichiers",Sub-task,13,11,Low,"Renommage pour éviter les doublons.","À faire"
"Tri manuel pour validation du zoom",Sub-task,14,11,High,"Validation experte de la qualité des clichés.","À faire"
"Annotation & Augmentation",Task,15,10,Medium,"Enrichissement du dataset via Roboflow.","À faire"
"Importation dans Roboflow/Outil d'annotation",Sub-task,16,15,Medium,"Chargement massif des images.","À faire"
"Configuration de la Data Augmentation",Sub-task,17,15,High,"Simulation de conditions lumineuses et angles mobiles.","À faire"
"Vérification des biais (couleurs de peau)",Sub-task,18,15,High,"Audit de diversité dermatologique (Fitzpatrick scale).","À faire"
"EPIC 3 : Modélisation & Entraînement IA",Epic,19,,High,"Phase de Deep Learning : Entraînement et TFLite.","À faire"
"Entraînement & Expérimentation (CRISP-DM)",Task,20,19,High,"Entraînement des modèles sur GPU.","À faire"
"Configuration Kaggle/Colab",Sub-task,21,20,Medium,"Setup environnement CUDA/Python.","À faire"
"Entraînement EfficientNet & MobileNetV3",Sub-task,22,20,High,"Apprentissage automatique (Transfer Learning).","À faire"
"Fine-tuning tropical",Sub-task,23,20,High,"Optimisation sur pathologies spécifiques (Lèpre, Monkeypox).","À faire"
"Évaluation & Compression (CRISP-DM)",Task,24,19,High,"Validation médicale et optimisation mobile.","À faire"
"Analyse de la matrice de confusion",Sub-task,25,24,High,"Mesure de précision clinique par classe.","À faire"
"Conversion (.tflite)",Sub-task,26,24,High,"Passage au format mobile TensorFlow Lite.","À faire"
"Validation matériel cible (Android/iOS)",Sub-task,27,24,High,"Mesure de latence et performance CPU/NPU.","À faire"
"EPIC 4 : Application Mobile Flutter",Epic,28,,High,"Développement mobile Agile.","À faire"
"Interface Utilisateur (Sprints Agile)",Task,29,28,High,"UI/UX de capture et résultats.","À faire"
"UI Caméra Overlay",Sub-task,30,29,High,"Guide visuel de distance de capture.","À faire"
"Écran de résultats & Recos médicales",Sub-task,31,29,Medium,"Display des probabilités et premiers conseils.","À faire"
"Intégration IA & Cloud",Task,32,28,High,"Connexion du modèle dans l'app.","À faire"
"Inférence TFLite Offline",Sub-task,33,32,High,"Diagnostic embarqué sans connexion internet.","À faire"
"API Traduction Malgache",Sub-task,34,32,Medium,"Interface multilingue (FastAPI).","À faire"
"EPIC 5 : Déploiement & Feedback",Epic,35,,Medium,"Livraison et Beta-test.","À faire"
"Tests & Livraison (CRISP-DM)",Task,36,35,High,"Validation finale avant store.","À faire"
"Phase BETA avec médecins testeurs",Sub-task,37,36,High,"Collecte de feedback terrain.","À faire"
"Correction des bugs critiques",Sub-task,38,36,High,"Dernier polissage technique.","À faire"
"Publication sur les stores (APK)",Sub-task,39,36,Medium,"Mise en production.","À faire"
